url;cian_id;price;total_meters;rooms_count;floor;floors_count;region;city;district;microdistrict;street;house_number;underground;residential_complex;address_raw;living_meters;kitchen_meters;ceiling_height;object_type;layout_type;bathroom_type;bathroom_count;window_view;finish_type;balcony_count;loggia_count;has_furniture;year_of_construction;house_material_type;floor_type;elevator_passenger;elevator_cargo;entrances_count;has_garbage_chute;has_ramp;has_concierge;parking_type;heating_type;is_emergency;jk_name;jk_class;jk_deadline;developer;cadastral_number;encumbrances;owners_count;title_raw;author;author_type;is_detail_parsed;price_per_sqm;has_balcony;has_elevator
https://vladivostok.cian.ru/sale/flat/324337153/;324337153;7500000;32.0;1.0;7.0;24.0;;;р-н Первомайский;;Харьковская улица;1к1;;Brynner;Приморский край, Владивосток, р-н Первомайский, мкр. Чуркин, Харьковская улица, 1к1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 32 м², 7/24 этаж;;;False;234375.0;;
https://vladivostok.cian.ru/sale/flat/323750687/;323750687;5200000;35.9;1.0;3.0;9.0;;;р-н Ленинский;;улица Нейбута;;;;Приморский край, Владивосток, р-н Ленинский, мкр. 64, 71, улица Нейбута, 11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 35,9 м², 3/9 этаж;;;False;144846.8;;
https://vladivostok.cian.ru/sale/flat/323696032/;323696032;5864810;32.7;1.0;14.0;25.0;;;р-н Первореченский;;;;;Снежный парк;Приморский край, Владивосток, р-н Первореченский, мкр. Снеговая падь, Снежный парк ЖК;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 32,7 м², 14/25 этаж;;;False;179351.99;;
https://vladivostok.cian.ru/sale/flat/326851503/;326851503;8690000;;;;;;;р-н Первореченский;;улица Пржевальского;5к4;;;Приморский край, Владивосток, р-н Первореченский, улица Пржевальского, 5к4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Видовая квартира 20 этаж;;;False;;;
https://vladivostok.cian.ru/sale/flat/322129124/;322129124;5000000;30.3;1.0;2.0;5.0;;;р-н Советский;;улица Чапаева;;;;Приморский край, Владивосток, р-н Советский, мкр. Заря, улица Чапаева, 24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 30,3 м², 2/5 этаж;;;False;165016.5;;
https://vladivostok.cian.ru/sale/flat/322725964/;322725964;8560888;39.4;1.0;4.0;17.0;;;р-н Первомайский;;;7к1;;ДОМ на Востоке;Приморский край, Владивосток, р-н Первомайский, мкр. Патрокл, Дом на Востоке ЖК, 7к1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 39,4 м², 4/17 этаж;;;False;217281.42;;
https://vladivostok.cian.ru/sale/flat/326509832/;326509832;7800000;36.0;1.0;4.0;10.0;;;р-н Первореченский;;улица Адмирала Горшкова;;;;Приморский край, Владивосток, р-н Первореченский, мкр. Снеговая падь, Снеговая Падь мкр, улица Адмирала Горшкова, 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 36 м², 4/10 этаж;;;False;216666.67;;
https://vladivostok.cian.ru/sale/flat/325530704/;325530704;5790000;33.3;1.0;10.0;24.0;;;р-н Ленинский;;;;;На Черняховского;Приморский край, Владивосток, р-н Ленинский, мкр. 64, 71, На Черняховского жилой квартал;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 33,3 м², 10/24 этаж;;;False;173873.87;;
https://vladivostok.cian.ru/sale/flat/294249973/;294249973;14485500;43.5;1.0;11.0;22.0;;;р-н Первомайский;;Кизлярская улица;3;;Edelweiss Золотой Рог;Приморский край, Владивосток, р-н Первомайский, мкр. Чуркин, Кизлярская улица, 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 43,5 м², 11/22 этаж;;;False;333000.0;;
https://vladivostok.cian.ru/sale/flat/326659904/;326659904;6100000;34.2;1.0;5.0;9.0;;;р-н Первореченский;;улица Карбышева;;;;Приморский край, Владивосток, р-н Первореченский, мкр. БАМ, улица Карбышева, 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 34,2 м², 5/9 этаж;;;False;178362.57;;
https://vladivostok.cian.ru/sale/flat/314832459/;314832459;8990000;41.4;1.0;9.0;17.0;;;р-н Советский;;улица Кирова;;;;Приморский край, Владивосток, р-н Советский, мкр. Вторая речка, улица Кирова, 104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 41,4 м², 9/17 этаж;;;False;217149.76;;
https://vladivostok.cian.ru/sale/flat/324539875/;324539875;6539999;35.1;1.0;14.0;26.0;;;р-н Ленинский;;улица Нейбута;135с3;;Зеленые высоты;Приморский край, Владивосток, р-н Ленинский, улица Нейбута, 135с3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 35,1 м², 14/26 этаж;;;False;186324.76;;
https://vladivostok.cian.ru/sale/flat/327294490/;327294490;4824000;32.3;1.0;1.0;5.0;;;р-н Фрунзенский;;Верхнепортовая улица;;;;Приморский край, Владивосток, р-н Фрунзенский, мкр. Эгершельд, Верхнепортовая улица, 78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 32,3 м², 1/5 этаж;;;False;149349.85;;
https://vladivostok.cian.ru/sale/flat/323679165/;323679165;5850000;31.3;1.0;5.0;5.0;;;р-н Советский;;проспект 100-летия Владивостока;;;;Приморский край, Владивосток, р-н Советский, мкр. Вторая речка, проспект 100-летия Владивостока, 121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 31,3 м², 5/5 этаж;;;False;186900.96;;
https://vladivostok.cian.ru/sale/flat/314317011/;314317011;6537300;28.3;1.0;2.0;17.0;;;р-н Первореченский;;Днепровская улица;;;Агат;Приморский край, Владивосток, р-н Первореченский, Днепровская улица;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 28,3 м², 2/17 этаж;;;False;231000.0;;
https://vladivostok.cian.ru/sale/flat/322861782/;322861782;5600000;30.5;1.0;1.0;5.0;;;р-н Первореченский;;улица Овчинникова;;;;Приморский край, Владивосток, р-н Первореченский, мкр. Столетие, улица Овчинникова, 26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 30,5 м², 1/5 этаж;;;False;183606.56;;
https://vladivostok.cian.ru/sale/flat/317629562/;317629562;8758957;38.6;1.0;20.0;30.0;;;р-н Первомайский;;улица Борисенко;48к4;;Борисенко 48;Приморский край, Владивосток, р-н Первомайский, мкр. Борисенко, улица Борисенко, 48к4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 38,6 м², 20/30 этаж;;;False;226915.98;;
https://vladivostok.cian.ru/sale/flat/321220694/;321220694;9380600;;;;;;;р-н Первомайский;;улица Сочинская;4;;Новые горизонты;Приморский край, Владивосток, р-н Первомайский, мкр. Патрокл, улица Сочинская, 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 комн.кв., 46.1 кв.м. 3/17;;;False;;;
https://vladivostok.cian.ru/sale/flat/326755476/;326755476;3250000;17.2;1.0;8.0;9.0;;;р-н Советский;;улица Кирова;;;;Приморский край, Владивосток, р-н Советский, мкр. Вторая речка, улица Кирова, 64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 17,2 м², 8/9 этаж;;;False;188953.49;;
https://vladivostok.cian.ru/sale/flat/321224364/;321224364;8462340;;;;;;;р-н Первомайский;;улица 3-я Поселковая;16/3;;Семейный квартал Гавань;Приморский край, Владивосток, р-н Первомайский, мкр. Чуркин, улица 3-я Поселковая, 16/3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 комн.кв., 44 кв.м. 1/24;;;False;;;
https://vladivostok.cian.ru/sale/flat/293407598/;293407598;3450000;16.0;1.0;7.0;9.0;;;р-н Первореченский;;Луговая улица;;;;Приморский край, Владивосток, р-н Первореченский, мкр. Баляева, Луговая улица, 66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 16 м², 7/9 этаж;;;False;215625.0;;
https://vladivostok.cian.ru/sale/flat/326025410/;326025410;8109999;46.61;1.0;17.0;24.0;;;р-н Первореченский;;улица Карбышева;;;Видный;Приморский край, Владивосток, р-н Первореченский, мкр. БАМ, улица Карбышева, 22Б;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 46,61 м², 17/24 этаж;;;False;173996.97;;
https://vladivostok.cian.ru/sale/flat/318273162/;318273162;8600000;41.8;1.0;23.0;25.0;;;р-н Ленинский;;;;;Зелёный бульвар 2.0;Приморский край, Владивосток, р-н Ленинский, мкр. 64, 71, Зеленый Бульвар 2 ЖК;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 41,8 м², 23/25 этаж;;;False;205741.63;;
https://vladivostok.cian.ru/sale/flat/326013042/;326013042;6500000;24.5;1.0;1.0;28.0;;;р-н Фрунзенский;;улица Леонова;;;Вертикаль;Приморский край, Владивосток, р-н Фрунзенский, мкр. Эгершельд, улица Леонова, 70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 24,5 м², 1/28 этаж;;;False;265306.12;;
https://vladivostok.cian.ru/sale/flat/327203587/;327203587;6224960;26.7;1.0;5.0;16.0;;;р-н Первомайский;;;5к1;;ДОМ на Востоке;Приморский край, Владивосток, р-н Первомайский, мкр. Патрокл, Дом на Востоке ЖК, 5к1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 26,7 м², 5/16 этаж;;;False;233144.57;;
https://vladivostok.cian.ru/sale/flat/324337163/;324337163;6420000;35.14;1.0;20.0;25.0;;;р-н Первореченский;;улица Карбышева;;;Видный;Приморский край, Владивосток, р-н Первореченский, мкр. БАМ, улица Карбышева, 22Б;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 35,14 м², 20/25 этаж;;;False;182697.78;;
https://vladivostok.cian.ru/sale/flat/326457095/;326457095;3200000;;;;;;;р-н Первомайский;;улица Добровольского;;;;Приморский край, Владивосток, р-н Первомайский, мкр. Тихая, улица Добровольского, 9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Гостинка с шикарным видом на море;;;False;;;
https://vladivostok.cian.ru/sale/flat/313474654/;313474654;8839380;35.4;1.0;1.0;9.0;;;р-н Первомайский;;;9;;Босфорский парк;Приморский край, Владивосток, р-н Первомайский, мкр. Патрокл, Босфорский Парк ЖК, 9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 35,4 м², 1/9 этаж;;;False;249700.0;;
https://vladivostok.cian.ru/sale/flat/324337153/;324337153;7500000;32.0;1.0;7.0;24.0;;;р-н Первомайский;;Харьковская улица;1к1;;Brynner;Приморский край, Владивосток, р-н Первомайский, мкр. Чуркин, Харьковская улица, 1к1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 32 м², 7/24 этаж;;;False;234375.0;;
https://vladivostok.cian.ru/sale/flat/323750687/;323750687;5200000;35.9;1.0;3.0;9.0;;;р-н Ленинский;;улица Нейбута;;;;Приморский край, Владивосток, р-н Ленинский, мкр. 64, 71, улица Нейбута, 11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 35,9 м², 3/9 этаж;;;False;144846.8;;
https://vladivostok.cian.ru/sale/flat/323696032/;323696032;5864810;32.7;1.0;14.0;25.0;;;р-н Первореченский;;;;;Снежный парк;Приморский край, Владивосток, р-н Первореченский, мкр. Снеговая падь, Снежный парк ЖК;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 32,7 м², 14/25 этаж;;;False;179351.99;;
https://vladivostok.cian.ru/sale/flat/326851503/;326851503;8690000;;;;;;;р-н Первореченский;;улица Пржевальского;5к4;;;Приморский край, Владивосток, р-н Первореченский, улица Пржевальского, 5к4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Видовая квартира 20 этаж;;;False;;;
https://vladivostok.cian.ru/sale/flat/322129124/;322129124;5000000;30.3;1.0;2.0;5.0;;;р-н Советский;;улица Чапаева;;;;Приморский край, Владивосток, р-н Советский, мкр. Заря, улица Чапаева, 24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 30,3 м², 2/5 этаж;;;False;165016.5;;
https://vladivostok.cian.ru/sale/flat/327219888/;327219888;6391130;27.8;1.0;3.0;11.0;;;р-н Первомайский;;;5к1;;ДОМ на Востоке;Приморский край, Владивосток, р-н Первомайский, мкр. Патрокл, Дом на Востоке ЖК, 5к1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 27,8 м², 3/11 этаж;;;False;229896.76;;
https://vladivostok.cian.ru/sale/flat/326509832/;326509832;7800000;36.0;1.0;4.0;10.0;;;р-н Первореченский;;улица Адмирала Горшкова;;;;Приморский край, Владивосток, р-н Первореченский, мкр. Снеговая падь, Снеговая Падь мкр, улица Адмирала Горшкова, 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1-комн. квартира, 36 м², 4/10 этаж;;;False;216666.67;;
